index,app_name,state_filename,textfield_id,correct_droidagent,correct_category_matching
1,org.koitharu.kotatsu,state_-1399196902,searchView_198_119,,
2,AOL_News_Mail_Video_v6.47.2,state_-2077864795,search_edit_text_182_66,,
3,de.kromke.andreas.opus1musicplayer,state_1643267838,search_src_text_111_71,,
4,Petal_Maps–GPS_Navigation_v2.5.0.303(002),state_-1677063389,search_src_text_174_1600,,
5,AutoScout24_Buy_sell_cars,state_1694299268,textinput_filter_edittext_188_301,,
6,Tubi_Movies,state_-1563197355,name_53_486,,
7,Tubi_Movies,state_-1563197355,email_53_859,,
8,Tubi_Movies,state_-1563197355,text_year_or_age_53_674,,
9,Tubi_Movies,state_-1563197355,gender_593_674,,
10,Tubi_Movies,state_-1563197355,password_53_1047,,
11,Tubi_Movies,state_-73242223,search_input_box_50_214,,
12,com.velas.mobile_wallet,state_2009846125,384035467,,
13,com.velas.mobile_wallet,state_2009846125,718740312,,
14,Podcast_Addict_Podcast_player_v2022.4,state_-596023753,pattern_86_306,,
15,de.chaosdorf.meteroid,state_-597245818,hostname_44_360,,
16,com.invoiceninja.app,state_950430309,_88_943,,
17,com.invoiceninja.app,state_950430309,_88_1106,,
18,com.invoiceninja.app,state_950430309,_88_1268,,
19,com.poupa.vinylmusicplayer,state_-141330720,title1_44_272,,
20,com.poupa.vinylmusicplayer,state_-141330720,title2_44_433,,
21,com.poupa.vinylmusicplayer,state_-141330720,artist_44_660,,
22,com.poupa.vinylmusicplayer,state_-141330720,genre_44_821,,
23,com.poupa.vinylmusicplayer,state_-141330720,year_44_982,,
24,com.poupa.vinylmusicplayer,state_-141330720,track_number_44_1143,,
25,com.poupa.vinylmusicplayer,state_-141330720,disc_number_44_1304,,
26,com.poupa.vinylmusicplayer,state_-979703431,title1_44_272,,
27,com.poupa.vinylmusicplayer,state_-979703431,title2_44_433,,
28,com.poupa.vinylmusicplayer,state_-979703431,artist_44_660,,
29,com.poupa.vinylmusicplayer,state_-979703431,genre_44_821,,
30,com.poupa.vinylmusicplayer,state_-979703431,year_44_982,,
31,com.poupa.vinylmusicplayer,state_-979703431,track_number_44_1143,,
32,com.poupa.vinylmusicplayer,state_-979703431,disc_number_44_1304,,
33,com.poupa.vinylmusicplayer,state_-979703431,lyrics_44_1465,,
34,com.poupa.vinylmusicplayer,state_404149954,search_src_text_220_93,,
35,org.billthefarmer.currency,state_-330216155,edit_494_242,,
36,Podcast_Player_v7.0.0-220308033.rd0a0ae8,state_-1405221607,zk_220_93,,
37,BBC_News_v5.23.0,state_-1912259750,search_198_179,,
38,Brave_Private_Web_Browser_v1.39.115,state_-2130272688,url_bar_154_74,,
39,Brave_Private_Web_Browser_v1.39.115,state_-29924823,url_bar_121_74,,
40,Brave_Private_Web_Browser_v1.39.115,state_-29924823,985110063,,
41,Messenger,state_-1496142319,Phone number or email_55_1442,,
42,Messenger,state_-1496142319,Password_55_1598,,
43,deep.ryd.rydplayer,state_-762092943,_155_1041,,
44,Plex_Stream_Movies_TV,state_2009846125,2049720230,,
45,im.status.ethereum,state_508861723,password-input_88_597,,
46,im.status.ethereum,state_508861723,password-input_88_806,,
47,BOTIM_Video_and_Voice_Call_v2.7.9,state_-315433776,search_box_22_242,,
48,nl.asymmetrics.droidshows,state_-924464529,search_src_text_183_81,,
49,nl.asymmetrics.droidshows,state_-52577856,search_text_0_220,,
50,org.y20k.escapepod,state_966430078,search_src_text_248_1053,,
51,OK_Social_Network_v22.6.1,state_-1550987636,text_login_66_448,,
52,OK_Social_Network_v22.6.1,state_-1550987636,password_text_66_607,,
